"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
200513040,2020-08-16,2020-08-16,1830,5,"Harbor",521,1,220,"ATTEMPTED ROBBERY",42,"F","W",124,"BUS STOP","AO","Adult Other",220,"GAFFEY",33.7645,-118.2935
201915946,2020-10-21,2020-10-20,2315,19,"Mission",1962,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,"F","H",247,"CAR WASH","IC","Invest Cont",230,"9800 N  SEPULVEDA                    BL",34.2482,-118.4674
230911060,2023-06-26,2023-06-26,1156,9,"Van Nuys",974,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)",23,"F","W",402,"MARKET","IC","Invest Cont",343,"14800    VENTURA                      BL",34.1547,-118.453
201709771,2020-06-06,2020-06-06,1000,17,"Devonshire",1705,1,330,"BURGLARY FROM VEHICLE",74,"F","O",101,"STREET","IC","Invest Cont",330,"17300    SESNON                       BL",34.3074,-118.5108
222115683,2022-10-21,2022-10-20,1100,21,"Topanga",2156,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"M","X",108,"PARKING LOT","IC","Invest Cont",420,"21900    VANOWEN                      ST",34.1938,-118.6044
200815084,2020-10-10,2020-10-10,1030,8,"West LA",822,1,330,"BURGLARY FROM VEHICLE",34,"F","W",108,"PARKING LOT","IC","Invest Cont",330,"SUNSET                       BL",34.043,-118.5398
240505107,2024-01-29,2024-01-29,2158,5,"Harbor",541,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",46,"F","H",108,"PARKING LOT","IC","Invest Cont",626,"900 N  WESTERN                      AV",33.7501,-118.3092
210510022,2021-06-07,2021-05-26,1200,5,"Harbor",504,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",42,"F","H",710,"OTHER PREMISE","IC","Invest Cont",440,"1500    TORRANCE                     BL",33.8403,-118.306
200113466,2020-06-16,2020-06-16,138,1,"Central",162,1,310,"BURGLARY",28,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",310,"800 S  FLOWER                       ST",34.0473,-118.2601
221711461,2022-07-21,2022-07-21,1430,17,"Devonshire",1779,2,624,"BATTERY - SIMPLE ASSAULT",28,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",624,"16000    TUPPER                       ST",34.2392,-118.4807
201209358,2020-03-17,2020-03-17,1350,12,"77th Street",1208,1,210,"ROBBERY",27,"F","H",102,"SIDEWALK","AA","Adult Arrest",210,"700 W  52ND                         ST",33.9997,-118.2849
230409734,2023-06-25,2023-06-25,300,4,"Hollenbeck",491,1,220,"ATTEMPTED ROBBERY",44,"M","H",101,"STREET","IC","Invest Cont",220,"OLYMPIC",34.0246,-118.2207
211412710,2021-06-01,2021-06-01,1325,14,"Pacific",1412,2,437,"RESISTING ARREST",28,"X","X",101,"STREET","IC","Invest Cont",437,"CLUBHOUSE",33.9892,-118.4751
